,Labels
0,5
1,2
2,0
3,0
4,0
5,5
6,4
7,2
8,0
9,2
10,0
11,0
12,0
13,2
14,3
15,5
16,0
17,0
18,4
19,6
20,6
21,3
22,5
23,3
24,0
25,3
26,2
27,3
28,2
29,2
30,0
31,5
32,0
33,0
34,3
35,0
36,0
37,4
38,0
39,0
40,4
41,0
42,0
43,0
44,2
45,0
46,3
47,4
48,5
49,2
50,4
51,3
52,2
53,0
54,0
55,3
56,2
57,6
58,0
59,0
60,4
61,0
62,0
63,0
64,0
65,0
66,5
67,0
68,7
69,0
70,0
71,0
72,8
73,0
74,0
75,0
76,3
77,0
78,2
79,3
80,0
81,4
82,5
83,0
84,0
85,4
86,4
87,4
88,4
89,3
90,5
91,0
92,4
93,2
94,7
95,5
96,5
97,5
98,4
99,4
100,0
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,6
109,6
110,3
111,5
112,5
113,5
114,4
115,5
116,5
117,4
118,4
119,5
120,4
121,4
122,5
123,5
124,4
125,0
126,4
127,0
128,0
129,5
130,0
131,0
132,0
133,0
134,0
135,5
136,5
137,5
138,4
139,0
140,0
141,0
142,0
143,4
144,5
145,0
146,0
147,4
148,4
149,0
150,0
151,0
152,0
153,3
154,0
155,5
156,3
157,0
158,3
159,4
160,3
161,3
162,7
163,2
164,5
165,5
166,3
167,0
168,0
169,5
170,5
171,5
172,3
173,0
174,0
175,0
176,0
177,3
178,6
179,3
180,3
181,3
182,0
183,6
184,2
185,6
186,6
187,6
188,0
189,8
190,5
191,6
192,3
193,6
194,3
195,0
196,6
197,2
198,2
199,2
200,4
201,7
202,3
203,6
204,6
205,0
206,3
207,4
208,3
209,3
210,4
211,6
212,6
213,3
214,3
215,3
216,3
217,0
218,3
219,0
220,0
221,0
222,0
223,6
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,3
232,3
233,0
234,6
235,3
236,0
237,0
238,0
239,0
240,0
241,3
242,0
243,0
244,0
245,0
246,0
247,3
248,2
249,2
250,5
251,3
252,0
253,0
254,3
255,5
256,0
257,0
258,2
259,2
260,0
261,0
262,2
263,6
264,0
265,6
266,6
267,0
268,0
269,2
270,2
271,0
272,2
273,3
274,3
275,0
276,0
277,2
278,3
279,3
280,3
281,3
282,0
283,2
284,5
285,0
286,3
287,0
288,0
289,6
290,0
291,2
292,2
293,2
294,2
295,3
296,6
297,2
298,2
299,2
300,3
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,6
312,4
313,6
314,3
315,0
316,0
317,2
318,0
319,4
320,2
321,2
322,0
323,0
324,6
325,0
326,0
327,0
328,5
329,2
330,2
331,5
332,0
333,0
334,3
335,0
336,4
337,0
338,3
339,0
340,0
341,2
342,2
343,0
344,2
345,2
346,0
347,3
348,0
349,2
350,0
351,2
352,0
353,2
354,0
355,2
356,2
357,3
358,4
359,0
360,4
361,0
362,0
363,0
364,0
365,0
366,6
367,6
368,3
369,6
370,6
371,7
372,0
373,5
374,4
375,5
376,3
377,3
378,0
379,3
380,5
381,0
382,2
383,6
384,5
385,4
386,0
387,6
388,4
389,6
390,6
391,6
392,0
393,0
394,5
395,4
396,0
397,8
398,2
399,3
400,7
401,0
402,0
403,6
404,0
405,3
406,0
407,3
408,3
409,3
410,0
411,0
412,7
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,3
434,3
435,6
436,6
437,6
438,6
439,6
440,6
441,6
442,6
443,7
444,8
445,8
446,8
447,8
448,8
449,8
450,8
451,8
452,8
453,8
454,8
455,8
456,8
457,8
458,7
459,6
460,3
461,3
462,4
463,4
464,4
465,6
466,4
467,8
468,7
469,7
470,8
471,0
472,0
473,0
474,6
475,6
476,6
477,6
478,0
479,0
480,0
481,0
482,7
483,6
484,6
485,7
486,7
487,0
488,0
489,4
490,6
491,7
492,7
493,7
494,7
495,7
496,8
497,2
498,8
499,6
500,6
501,5
502,7
503,5
504,6
505,6
506,5
507,5
508,5
509,6
510,5
511,5
512,6
513,5
